科类,年份,分数,最低位次,最高位次,同分人数
文科,2024,416,79975,80534,560
文科,2024,415,80535,81110,576
文科,2024,414,81111,81707,597
文科,2024,413,81708,82293,586
文科,2024,412,82294,82862,569
文科,2024,411,82863,83426,564
文科,2024,410,83427,83989,563
文科,2024,409,83990,84549,560
文科,2024,408,84550,85106,557
文科,2024,407,85107,85635,529
文科,2024,406,85636,86229,594
文科,2024,405,86230,86789,560
文科,2024,404,86790,87327,538
文科,2024,403,87328,87899,572
文科,2024,402,87900,88445,546
文科,2024,401,88446,89010,565
文科,2024,400,89011,89580,570
文科,2024,399,89581,90136,556
文科,2024,398,90137,90691,555
文科,2024,397,90692,91231,540
文科,2024,396,91232,91756,525
文科,2024,395,91757,92290,534
文科,2024,394,92291,92826,536
文科,2024,393,92827,93367,541
文科,2024,392,93368,93943,576
文科,2024,391,93944,94493,550
文科,2024,390,94494,95033,540
文科,2024,389,95034,95576,543
文科,2024,388,95577,96102,526
文科,2024,387,96103,96631,529
文科,2024,386,96632,97174,543
文科,2024,385,97175,97739,565
文科,2024,384,97740,98250,511
文科,2024,383,98251,98785,535
文科,2024,382,98786,99291,506
文科,2024,381,99292,99815,524
文科,2024,380,99816,100316,501
文科,2024,379,100317,100779,463
文科,2024,378,100780,101250,471
文科,2024,377,101251,101738,488
文科,2024,376,101739,102246,508
文科,2024,375,102247,102745,499
文科,2024,374,102746,103244,499
文科,2024,373,103245,103727,483
文科,2024,372,103728,104203,476
文科,2024,371,104204,104690,487
文科,2024,370,104691,105149,459
文科,2024,369,105150,105569,420
文科,2024,368,105570,106017,448
文科,2024,367,106018,106432,415
文科,2024,366,106433,106872,440
文科,2024,365,106873,107291,419
文科,2024,364,107292,107757,466
文科,2024,363,107758,108196,439
文科,2024,362,108197,108621,425
文科,2024,361,108622,109040,419
文科,2024,360,109041,109481,441
文科,2024,359,109482,109911,430
文科,2024,358,109912,110341,430
文科,2024,357,110342,110755,414
文科,2024,356,110756,111126,371
文科,2024,355,111127,111557,431
文科,2024,354,111558,111920,363
文科,2024,353,111921,112326,406
文科,2024,352,112327,112724,398
文科,2024,351,112725,113082,358
文科,2024,350,113083,113474,392
文科,2024,349,113475,113823,349
文科,2024,348,113824,114202,379
文科,2024,347,114203,114584,382
文科,2024,346,114585,114947,363
文科,2024,345,114948,115238,291
文科,2024,344,115239,115595,357
文科,2024,343,115596,115969,374
文科,2024,342,115970,116321,352
文科,2024,341,116322,116647,326
文科,2024,340,116648,116959,312
文科,2024,339,116960,117301,342
文科,2024,338,117302,117624,323
文科,2024,337,117625,117938,314
文科,2024,336,117939,118228,290
文科,2024,335,118229,118549,321
文科,2024,334,118550,118837,288
文科,2024,333,118838,119131,294
文科,2024,332,119132,119383,252
文科,2024,331,119384,119661,278
文科,2024,330,119662,119897,236
文科,2024,329,119898,120156,259
文科,2024,328,120157,120422,266
文科,2024,327,120423,120667,245
文科,2024,326,120668,120927,260
文科,2024,325,120928,121156,229
文科,2024,324,121157,121387,231
文科,2024,323,121388,121607,220
文科,2024,322,121608,121871,264
文科,2024,321,121872,122112,241
文科,2024,320,122113,122330,218
文科,2024,319,122331,122579,249
文科,2024,318,122580,122783,204
文科,2024,317,122784,122985,202
文科,2024,316,122986,123197,212
文科,2024,315,123198,123400,203
文科,2024,314,123401,123613,213
文科,2024,313,123614,123794,181
文科,2024,312,123795,124001,207
文科,2024,311,124002,124190,189
文科,2024,310,124191,124365,175
文科,2024,309,124366,124540,175
文科,2024,308,124541,124707,167
文科,2024,307,124708,124876,169
文科,2024,306,124877,125035,159
文科,2024,305,125036,125181,146
文科,2024,304,125182,125337,156
文科,2024,303,125338,125505,168
文科,2024,302,125506,125641,136
文科,2024,301,125642,125784,143
文科,2024,300,125785,125930,146
文科,2024,299,125931,126063,133
文科,2024,298,126064,126198,135
文科,2024,297,126199,126327,129
文科,2024,296,126328,126435,108
文科,2024,295,126436,126537,102
文科,2024,294,126538,126653,116
文科,2024,293,126654,126766,113
文科,2024,292,126767,126888,122
文科,2024,291,126889,127008,120
文科,2024,290,127009,127120,112
文科,2024,289,127121,127227,107
文科,2024,288,127228,127323,96
文科,2024,287,127324,127423,100
文科,2024,286,127424,127529,106
文科,2024,285,127530,127632,103
文科,2024,284,127633,127722,90
文科,2024,283,127723,127830,108
文科,2024,282,127831,127926,96
文科,2024,281,127927,127994,68
文科,2024,280,127995,128075,81
文科,2024,279,128076,128157,82
文科,2024,278,128158,128224,67
文科,2024,277,128225,128289,65
文科,2024,276,128290,128356,67
文科,2024,275,128357,128407,51
文科,2024,274,128408,128469,62
文科,2024,273,128470,128522,53
文科,2024,272,128523,128575,53
文科,2024,271,128576,128642,67
文科,2024,270,128643,128699,57
文科,2024,269,128700,128756,57
文科,2024,268,128757,128806,50
文科,2024,267,128807,128857,51
文科,2024,266,128858,128913,56
文科,2024,265,128914,128972,59
文科,2024,264,128973,129016,44
文科,2024,263,129017,129051,35
文科,2024,262,129052,129090,39
文科,2024,261,129091,129130,40
文科,2024,260,129131,129168,38
文科,2024,259,129169,129208,40
文科,2024,258,129209,129241,33
文科,2024,257,129242,129275,34
文科,2024,256,129276,129307,32
文科,2024,255,129308,129338,31
文科,2024,254,129339,129365,27
文科,2024,253,129366,129395,30
文科,2024,252,129396,129427,32
文科,2024,251,129428,129459,32
文科,2024,250,129460,129485,26
文科,2024,249,129486,129521,36
文科,2024,248,129522,129545,24
文科,2024,247,129546,129573,28
文科,2024,246,129574,129608,35
文科,2024,245,129609,129631,23
文科,2024,244,129632,129651,20
文科,2024,243,129652,129670,19
文科,2024,242,129671,129691,21
文科,2024,241,129692,129706,15
文科,2024,240,129707,129729,23
文科,2024,239,129730,129747,18
文科,2024,238,129748,129758,11
文科,2024,237,129759,129767,9
文科,2024,236,129768,129787,20
文科,2024,235,129788,129799,12
文科,2024,234,129800,129809,10
文科,2024,233,129810,129820,11
文科,2024,232,129821,129837,17
文科,2024,231,129838,129845,8
文科,2024,230,129846,129858,13
文科,2024,229,129859,129870,12
文科,2024,228,129871,129880,10
文科,2024,227,129881,129895,15
文科,2024,226,129896,129907,12
文科,2024,225,129908,129914,7
文科,2024,224,129915,129928,14
文科,2024,223,129929,129942,14
文科,2024,222,129943,129952,10
文科,2024,221,129953,129962,10
文科,2024,220,129963,129969,7
文科,2024,219,129970,129974,5
文科,2024,218,129975,129984,10
文科,2024,217,129985,129989,5
文科,2024,216,129990,129994,5
文科,2024,215,129995,130000,6
文科,2024,214,130001,130014,14
文科,2024,213,130015,130028,14
文科,2024,212,130029,130031,3
文科,2024,211,130032,130034,3
文科,2024,210,130035,130040,6
文科,2024,209,130041,130047,7
文科,2024,208,130048,130053,6
文科,2024,207,130054,130058,5
文科,2024,206,130059,130059,1
文科,2024,205,130060,130062,3
文科,2024,204,130063,130070,8
